path,extension,size_bytes,category,eligible_historical_bank,exam_id,classification_evidence
Seminario cl udea/Simulacros/EXAMEN DE ADMISI-ôN  U de A 2009-02 BORGES.pdf,.pdf,165516,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE417V1/AE417V1 RL1.xlsx,.xlsx,21464,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE717V1/AE717V1.pdf,.pdf,660635,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Talleres/TALLER N-¦25.doc,.doc,81408,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Sin respuestas/2018-2 j2/2018-2 j2.docx,.docx,264817,OFFICIAL_EXAM_UDEA,True,UDEA_2018_2_J2,Registro UdeA confirmado: UDEA_2018_2_J2
Seminario cl udea/Sesión 4/2/Screenshot_20210711-155421~2.png,.png,55961,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AP217V1/AP217V1 RL.xlsx,.xlsx,21057,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
"Seminario cl udea/Simulacros/RESPUESTAS EXAMENES DE ADMISI-ôN BORGES Y LAS VOCACIONES, LA CAFEINA Y LA DIETA QUE DA-æA EL CLIMA.docx",.docx,14136,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/2020-1/Correos electrónicos Examen medicina 2020-1 (razonamiento).pdf,.pdf,1066370,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Exámenes/Con respuestas/Exámenes unicauca/2012-2 j2 versión 1/Examen UniCauca 2012 II J2 Hacer versión 1.pdf,.pdf,1164328,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Banco de lecturas/EnsayosLeerSeleccion_2019.pdf,.pdf,7678895,READING_BANK,False,,Texto de lectura; no es examen
Seminario cl udea/Talleres/TALLER N-¦11.doc,.doc,74752,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Exámenes unicauca/2012-2 j1 versión 1/Examen UniCauca 2012 II J1 Hacer Versión 1.pdf,.pdf,736969,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Seminario cl udea/Sesión 2 y 3/RESPUESTAS TALLERES LA BOMBA DE HIROSHIMA Y LA DESHUMANIZACI-ôN.docx,.docx,16099,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Simulacros/EXAMEN DE ADMISI-ôN 2010-02 LAS VOCACIONES.doc,.doc,124416,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE417V1/AE417V1.pdf,.pdf,623696,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Talleres/TALLER N-¦22.doc,.doc,84992,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE317V1/AE317V1.pdf,.pdf,630036,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Talleres/TALLER N31.doc,.doc,78848,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦5.doc,.doc,41984,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Otros preU universidades extranjeras/Correos electrónicos Matematica TOMO III - Geometría.pdf,.pdf,12516342,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Seminario cl udea/Sesión 1/Prueba diagnóstica/PRUEBA DIAGNOSTICA LENGUAJE EXAMEN DE ADMISI-ôN EN BUSCA DE ALIMENTO.pdf,.pdf,390906,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/2018-1 j2/ExamenUdeA 2018 I J2 print Fútbol Galeano(1).docx,.docx,193380,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Exámenes/Con respuestas/Formarte/AE217V1/AE217V1.pdf,.pdf,618532,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
"Seminario cl udea/Sesión 5/1/RESPUESTAS TALLER CAPERUCITA, COLOMBIA, SUICIDIO Y EXAMEN DE ADMISI-ôN CAPITAL, TRABAJO Y LITERATURA.docx",.docx,14490,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦12.doc,.doc,54272,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE417V1/AE417V1 CL.xlsx,.xlsx,22622,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Talleres/TALLER N-¦23.doc,.doc,83968,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/2017-1 j1/ExamenUdeA 2017 I  J1 print La utilidad de la luna.docx,.docx,904576,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2017_1_J1,Registro UdeA confirmado: UDEA_2017_1_J1
Seminario cl udea/Talleres/TALLER N-¦9.doc,.doc,51200,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Exámenes unicauca/2012-1 j2 versión 1/examen-II-periodo-I-2012.pdf,.pdf,866897,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Banco de lecturas/Rev._de_Filos_133_final.pdf,.pdf,7457835,READING_BANK,False,,Texto de lectura; no es examen
Exámenes/Sin respuestas/2016-2 j1/2016-2 j1.docx,.docx,271731,OFFICIAL_EXAM_UDEA,True,UDEA_2016_2_J1,Registro UdeA confirmado: UDEA_2016_2_J1
Seminario cl udea/Sesión 4/1/EXAMEN DE ADMISI-ôN NIETZSCHE.pdf,.pdf,483380,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Sesión 2 y 3/TALLER SESI-ôN 3. LA DESHUMANIZACI-ôN.pdf,.pdf,606877,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦20.doc,.doc,63488,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦10.doc,.doc,72704,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦3.doc,.doc,48128,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
"Seminario cl udea/Simulacros/Examen de Admisi-¦n U de A -2010 1 Capital, trabajo, ciudad y literatura.pdf",.pdf,351491,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AP117V1/AP117V1.pdf,.pdf,678440,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/2018-1 j2/ExamenUdeA 2018 I J2 print Fútbol Galeano.docx,.docx,193380,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2018_1_J2,Registro UdeA confirmado: UDEA_2018_1_J2
Seminario cl udea/Talleres/TALLER N-¦26.doc,.doc,72192,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦7.doc,.doc,67072,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Talleres/TALLER N-¦2.doc,.doc,78336,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Otros preU universidades extranjeras/Evaluacion de RazonamientoVerbal 2.pdf,.pdf,1851729,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Otros preU universidades extranjeras/Correos electrónicos Lumbreras - Lenguaje.pdf,.pdf,4322733,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Exámenes/Sin respuestas/2016-1 j1/2016-1 j1.docx,.docx,120510,OFFICIAL_EXAM_UDEA,True,UDEA_2016_1_J1,Registro UdeA confirmado: UDEA_2016_1_J1
Seminario cl udea/Sesión 1/Prueba diagnóstica/Respuestas Prueba Diagnostica.doc,.doc,93184,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/2018-1 j2/ExamenUdeA 2018 I J2 print Fútbol Galeano(2).docx,.docx,193380,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Seminario cl udea/Talleres/TALLER N-¦24.doc,.doc,78336,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Sesión 5/1/TALLER 5. CAPERUCITA ROJA.pdf,.pdf,523026,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE917V1/AE917V1 RL.xlsx,.xlsx,21693,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Sesión 5/2/TALLER FIN DEL MUNDO SESI-ôN 5.pdf,.pdf,543357,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Sesión 4/2/TALLER 4. LA GRAN COLOMBIA Y TELARA-æAS EN LA RED.pdf,.pdf,610041,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Exámenes unicauca/2014-1 j1/examen-admision-I-2014-2.pdf,.pdf,3213998,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Seminario cl udea/Talleres/TALLER N-¦16.doc,.doc,84480,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Sin respuestas/2015-2 j1/2015-2 j1.docx,.docx,117521,OFFICIAL_EXAM_UDEA,True,UDEA_2015_2_J1,Registro UdeA confirmado: UDEA_2015_2_J1
Seminario cl udea/Talleres/RESPUESTAS TALLERES DE APOYO.docx,.docx,16943,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Sesión 4/3/TALLER 4 EDITORIALES POLITICA Y SEGURIDAD.pdf,.pdf,563701,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
PreU AVA/Comprensión lectora/8. INTENCIÓN COMUNICATIVA_Mazuera.pdf,.pdf,1235605,THEORY,False,,Módulo conceptual de preparación
PreU AVA/Comprensión lectora/14.TEXTOS CONTINUOS Y DICOTINUOS (REVISADO DAE)VFinal_Mazuera.pdf,.pdf,4618039,THEORY,False,,Módulo conceptual de preparación
Exámenes/Con respuestas/Formarte/AE617V1/AE617V1.pdf,.pdf,680314,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Exámenes unicauca/2014-1 j2/Examen Unicauca 2014 I J2 Vpar.pdf,.pdf,2972537,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Exámenes/Con respuestas/Formarte/AE217V1/AE217V1 RL.xlsx,.xlsx,18959,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Exámenes unicauca/2013-2 j2 versión 1/examen-admision-I-2013-2.pdf,.pdf,5876083,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Otros preU universidades extranjeras/Correos electrónicos Problemas resueltos de razonamiento matematico - Lumbreras.pdf,.pdf,8380260,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Exámenes/Con respuestas/Formarte/AE917V1/AE917V1.pdf,.pdf,4358548,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Exámenes unicauca/2013-2 j1 v1/examen-admision-I-2013-3.pdf,.pdf,6835725,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
PreU AVA/Comprensión lectora/7. LECTURA LITERAL INFERENCIAL Y CRÍTICA_Mazuera.pdf,.pdf,1467226,THEORY,False,,Módulo conceptual de preparación
PreU AVA/Comprensión lectora/6. Figuras-literarias_VFinal_Mazuera.pdf,.pdf,2129985,THEORY,False,,Módulo conceptual de preparación
PreU AVA/Comprensión lectora/5. Fraseología_Mazuera.pdf,.pdf,1528948,THEORY,False,,Módulo conceptual de preparación
Exámenes/Con respuestas/Preuniversitario popular 1/Popular 1.pdf,.pdf,10713070,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Otros preU universidades extranjeras/Correos electrónicos Matematica TOMO II - Algebra y Funciones.pdf,.pdf,13832710,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Otros preU universidades extranjeras/Correos electrónicos Matematica TOMO I - Números-1.pdf,.pdf,14306397,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Exámenes/Con respuestas/Formarte/AE117V2/AE117V2.pdf,.pdf,5496742,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Sesión 2 y 3/TALLER SESI-ôN 2. LA BOMBA DE HIROSHIMA.pdf,.pdf,636714,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE117V1/AE117V1.pdf,.pdf,6147333,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Exámenes unicauca/2013-2 j2 versión 2/Examen UniCauca 2013 II J2 v2.pdf,.pdf,6018039,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Exámenes/Con respuestas/Formarte/AP217V1/AP217V1 CL.xlsx,.xlsx,20116,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Formarte/Razonamiento lógico/Módulo teorico/Razonamiento_logico_Teorico_2017.pdf,.pdf,6529246,THEORY,False,,Módulo teórico de entidad preparadora
Exámenes/Con respuestas/Formarte/AP217V1/AP217V1.pdf,.pdf,4566656,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Exámenes unicauca/2011-2 j2 versión 1/Examen UniCauca 2011 II J2 V1.pdf,.pdf,8008854,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Formarte/Módulo de talleres/Más nuevo Correos electrónicos Razonamiento_logico_Teorico_.TALLER.pdf_.pdf,.pdf,13544583,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
PreU AVA/Comprensión lectora/13.EL PÁRRAFO Y LOS TIPOS DE PÁRRAFOS (REVISADO DAE)VFinal_Mazuera.pdf,.pdf,568792,THEORY,False,,Módulo conceptual de preparación
Exámenes/Con respuestas/Preuniversitario popular 3/Popular 3.pdf,.pdf,16961941,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Otros preU universidades extranjeras/Correos electrónicos solucionario-2018_2.pdf,.pdf,3808166,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Formarte/Comprensión lectora/Módulo teorico/CompetenciaLectora_Teorico_2017.pdf,.pdf,5341572,THEORY,False,,Módulo teórico de entidad preparadora
Solucionarios/Solucionario-ejercicios-tipo-examen-de-admision-para-la-UdeA-version-1.pdf,.pdf,18825147,PREPARATION_MATERIAL,False,,Solucionario o material preuniversitario
Formarte/Módulo de talleres/Modulo_Taller_UdeA_2017.pdf,.pdf,27491189,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Otros preU universidades extranjeras/Correos electrónicos Solucionario Semana 19 cepreunmsm 2019-I.pdf,.pdf,9805848,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Formarte/Módulo de talleres/Solucionario_modulo_taller_Competencia_Lectora.xlsx,.xlsx,2659685,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
